PlaythroughID,RecordType,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,1,10000,S0_1,2026-07-14 16:53:55.256,S0_1_E,2026-07-14 16:54:00.387,0.000,5.140,,,,Blue_L1_0 ,,,,
1,Path,2,10000,L1_0_1,2026-07-14 16:54:02.015,L1_0_1_E,2026-07-14 16:54:06.691,0.000,4.680,,,,Blue_L2_0,,,,
1,Path,3,10000,L2_0_1,2026-07-14 16:54:08.507,L2_0_1_E,2026-07-14 16:54:14.992,0.000,6.480,,,,Red1,2026-07-14 16:54:15.070,,,
1,Decision,1,Blue_L1_0 ,,,,,,,1.500,2026-07-14 16:54:00.510,2026-07-14 16:54:02.015,,,,,
1,Decision,2,Blue_L2_0,,,,,,,1.700,2026-07-14 16:54:06.810,2026-07-14 16:54:08.507,,,,,
1,Summary,,,,,,,,,,,,,,0.000,16.300,3.200
2,Path,1,10000,S0_1,2026-07-14 16:54:27.718,S0_1_E,2026-07-14 16:54:32.832,0.000,5.120,,,,Blue_L1_0 ,,,,
2,Path,2,10000,L1_0_1,2026-07-14 16:54:34.471,L1_0_1_E,2026-07-14 16:54:38.988,0.000,4.520,,,,Blue_L2_0,,,,
2,Path,3,10000,L2_0_1,2026-07-14 16:54:40.769,L2_0_1_E,2026-07-14 16:54:47.630,0.000,6.860,,,,Red1,2026-07-14 16:54:47.707,,,
2,Decision,1,Blue_L1_0 ,,,,,,,1.520,2026-07-14 16:54:32.952,2026-07-14 16:54:34.471,,,,,
2,Decision,2,Blue_L2_0,,,,,,,1.660,2026-07-14 16:54:39.108,2026-07-14 16:54:40.769,,,,,
2,Summary,,,,,,,,,,,,,,0.000,16.500,3.180
3,Path,1,10000,S0_1,2026-07-14 16:54:58.215,S0_1_E,2026-07-14 16:55:03.628,0.000,5.420,,,,Blue_L1_0 ,,,,
3,Path,2,10000,L1_0_1,2026-07-14 16:55:05.292,L1_0_1_E,2026-07-14 16:55:09.871,0.000,4.580,,,,Blue_L2_0,,,,
3,Path,3,10000,L2_0_1,2026-07-14 16:55:11.688,L2_0_1_E,2026-07-14 16:55:18.488,0.000,6.800,,,,Red1,2026-07-14 16:55:18.569,,,
3,Decision,1,Blue_L1_0 ,,,,,,,1.560,2026-07-14 16:55:03.739,2026-07-14 16:55:05.292,,,,,
3,Decision,2,Blue_L2_0,,,,,,,1.680,2026-07-14 16:55:10.012,2026-07-14 16:55:11.688,,,,,
3,Summary,,,,,,,,,,,,,,0.000,16.800,3.240
4,Path,1,10000,S0_1,2026-07-14 16:55:29.444,S0_1_E,2026-07-14 16:55:34.618,0.000,5.180,,,,Blue_L1_0 ,,,,
4,Path,2,10000,L1_0_1,2026-07-14 16:55:36.269,L1_0_1_E,2026-07-14 16:55:40.831,0.000,4.560,,,,Blue_L2_0,,,,
4,Path,3,10000,L2_0_1,2026-07-14 16:55:42.628,L2_0_1_E,2026-07-14 16:55:49.028,0.000,6.400,,,,Red1,2026-07-14 16:55:49.108,,,
4,Decision,1,Blue_L1_0 ,,,,,,,1.540,2026-07-14 16:55:34.735,2026-07-14 16:55:36.269,,,,,
4,Decision,2,Blue_L2_0,,,,,,,1.680,2026-07-14 16:55:40.947,2026-07-14 16:55:42.628,,,,,
4,Summary,,,,,,,,,,,,,,0.000,16.140,3.220
5,Path,1,10000,S0_1,2026-07-14 16:56:00.847,S0_1_E,2026-07-14 16:56:06.056,0.000,5.200,,,,Blue_L1_0 ,,,,
5,Path,2,10000,L1_0_1,2026-07-14 16:56:07.651,L1_0_1_E,2026-07-14 16:56:12.232,0.000,4.580,,,,Blue_L2_0,,,,
5,Path,3,10000,L2_0_1,2026-07-14 16:56:13.992,L2_0_1_E,2026-07-14 16:56:20.950,0.000,6.960,,,,Red1,2026-07-14 16:56:21.007,,,
5,Decision,1,Blue_L1_0 ,,,,,,,1.520,2026-07-14 16:56:06.135,2026-07-14 16:56:07.651,,,,,
5,Decision,2,Blue_L2_0,,,,,,,1.640,2026-07-14 16:56:12.350,2026-07-14 16:56:13.992,,,,,
5,Summary,,,,,,,,,,,,,,0.000,16.740,3.160
