PlaythroughID,RecordType,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,1,10000,S0_1,2026-07-14 16:51:49.207,S0_1_E,2026-07-14 16:51:54.304,0.000,5.100,,,,Blue_L2_0,,,,
1,Path,2,10000,L2_0_1,2026-07-14 16:52:02.220,L2_0_1_E,2026-07-14 16:52:08.516,0.000,6.300,,,,Red1,2026-07-14 16:52:08.594,,,
1,Decision,1,Blue_L1_0 ,,,,,,,1.500,2026-07-14 16:51:54.401,2026-07-14 16:51:55.904,,,,,
1,Decision,2,Blue_L2_0,,,,,,,1.660,2026-07-14 16:52:00.555,2026-07-14 16:52:02.220,,,,,
1,Summary,,,,,,,,,,,,,,0.000,11.400,3.160
