PlaythroughID,RecordType,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,1,10000,L1_0_2,2026-07-14 19:03:10.134,L1_0_2_E,2026-07-14 19:03:34.437,0.000,24.300,,,,Blue_L2_3,,,,
1,Path,2,10000,L2_3_2,2026-07-14 19:03:37.789,L2_3_2_E,2026-07-14 19:03:50.067,0.000,12.280,,,,Red1,2026-07-14 19:03:50.169,,,
1,Decision,1,Blue_L1_0 ,,,,,,,1.720,2026-07-14 19:03:08.414,2026-07-14 19:03:10.134,,,,,
1,Decision,2,Blue_L2_3,,,,,,,3.220,2026-07-14 19:03:34.576,2026-07-14 19:03:37.789,,,,,
1,Summary,,,,,,,,,,,,,,0.000,36.580,4.940
