PlaythroughID,RecordType,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,1,10000,S1_1,2026-07-14 19:00:50.231,S1_1_E,2026-07-14 19:00:59.149,0.000,8.920,,,,Blue_L1_0 ,,,,
1,Path,2,10000,L1_0_2,2026-07-14 19:01:00.743,L1_0_2_E,2026-07-14 19:01:19.701,0.000,18.960,,,,Blue_L2_3,,,,
1,Path,3,10000,L2_3_1,2026-07-14 19:01:22.639,L2_3_1_E,2026-07-14 19:01:33.495,0.000,10.860,,,,Red1,2026-07-14 19:01:33.615,,,
1,Decision,1,Blue_L1_0 ,,,,,,,1.500,2026-07-14 19:00:59.235,2026-07-14 19:01:00.743,,,,,
1,Decision,2,Blue_L2_3,,,,,,,2.800,2026-07-14 19:01:19.834,2026-07-14 19:01:22.639,,,,,
1,Summary,,,,,,,,,,,,,,0.000,38.740,4.300
